GenAge_ID,symbol,name_gene,organism,entrez_gene_id,avg_lifespan_change,lifespan_effect,longevity_influence
54,sco-1,Protein SCO-1,Caenorhabditis elegans,173763,23,Increase,Anti-Longevity
55,cpna-3,Protein CPNA-3,Caenorhabditis elegans,3565393,,Increase,Anti-Longevity
56,C06A5.1,Protein C06A5.1,Caenorhabditis elegans,182280,39,Decrease,Pro-Longevity
57,C07A9.2,Protein C07A9.2,Caenorhabditis elegans,176368,26,Decrease,Pro-Longevity
58,ubh-4,UBiquitin C-terminal Hydrolase,Caenorhabditis elegans,174289,,Increase,Anti-Longevity
59,C09B7.2,transposase,Caenorhabditis elegans,182438,,Increase,Anti-Longevity
60,C11H1.3,Protein C11H1.3,Caenorhabditis elegans,181537,10,Decrease,Pro-Longevity
61,C14A4.9,Protein C14A4.9,Caenorhabditis elegans,174637,14,Decrease,Pro-Longevity
62,C18E9.10,Protein C18E9.10,Caenorhabditis elegans,174427,,Increase,Anti-Longevity
63,C18E9.4,Protein C18E9.4,Caenorhabditis elegans,174428,60,Increase,Anti-Longevity
64,mdt-26,Protein MDT-26,Caenorhabditis elegans,173960,,Decrease,Pro-Longevity
65,C26B2.2,Protein C26B2.2,Caenorhabditis elegans,182926,,Increase,Anti-Longevity
66,C26B9.3,Protein C26B9.3,Caenorhabditis elegans,180804,12,Decrease,Pro-Longevity
67,C27B7.7,Protein C27B7.7,Caenorhabditis elegans,177708,,Increase,Anti-Longevity
68,vps-22,Protein VPS-22,Caenorhabditis elegans,175672,43,Decrease,Pro-Longevity
69,C29F9.1,Protein C29F9.1,Caenorhabditis elegans,175180,,Decrease,Pro-Longevity
70,C29F9.2,Protein C29F9.2,Caenorhabditis elegans,175179,12,Decrease,Pro-Longevity
71,tbc-7,TBC (Tre-2/Bub2/Cdc16) domain family,Caenorhabditis elegans,180784,,Decrease,Pro-Longevity
72,CELE_C32H11.1,Protein C32H11.1,Caenorhabditis elegans,183126,,Increase,Anti-Longevity
73,CELE_C32H11.5,Protein C32H11.5,Caenorhabditis elegans,183129,,Increase,Anti-Longevity
74,CELE_C33A12.1,Protein C33A12.1,Caenorhabditis elegans,177786,50,Increase,Anti-Longevity
75,C33F10.12,Protein C33F10.12,Caenorhabditis elegans,183168,,Increase,Anti-Longevity
76,C33H5.18,Protein C33H5.18,Caenorhabditis elegans,3565046,44,Decrease,Pro-Longevity
77,C35A11.3,Protein C35A11.3,Caenorhabditis elegans,183228,,Increase,Anti-Longevity
78,C36H8.1,Protein C36H8.1,Caenorhabditis elegans,178230,,Increase,Anti-Longevity
79,scl-4,SCP-Like extracellular protein,Caenorhabditis elegans,183342,,Increase,Anti-Longevity
80,scl-8,SCP-Like extracellular protein,Caenorhabditis elegans,183345,18,Increase,Anti-Longevity
81,trim-9,Protein TRIM-9,Caenorhabditis elegans,178619,,Increase,Anti-Longevity
82,ttr-5,TransThyretin-Related family domain,Caenorhabditis elegans,176312,14,Increase,Anti-Longevity
83,C42C1.3,Protein C42C1.3,Caenorhabditis elegans,183399,60,Increase,Anti-Longevity
84,C46G7.2,Protein C46G7.2,Caenorhabditis elegans,177367,44,Increase,Anti-Longevity
85,C47E12.2,Protein C47E12.2,Caenorhabditis elegans,177858,36,Increase,Anti-Longevity
86,C48E7.2,Protein C48E7.2,Caenorhabditis elegans,172321,26,Increase,Anti-Longevity
87,C56G2.1,Protein C56G2.1,Caenorhabditis elegans,175898,20,Increase,Anti-Longevity
88,calu-1,CALUmenin (calcium-binding protein) homolog,Caenorhabditis elegans,180769,,Decrease,Pro-Longevity
89,car,carnation,Drosophila melanogaster,32947,,Increase,Pro-Longevity
90,Casp2,caspase 2,Mus musculus,12366,,Decrease,Pro-Longevity
91,Cat,Catalase,Drosophila melanogaster,40048,33,Increase,Pro-Longevity
92,Cat,Catalase,Mus musculus,12359,21,Increase,Pro-Longevity
93,Cav1,"caveolin, caveolae protein 1",Mus musculus,12389,50,Decrease,Pro-Longevity
94,cchl-1,Cytochrome C Heme-Lyase,Caenorhabditis elegans,174713,50,Increase,Anti-Longevity
95,cco-1,Cytochrome C Oxidase,Caenorhabditis elegans,172832,80,Increase,Anti-Longevity
96,cco-2,Cytochrome C Oxidase,Caenorhabditis elegans,176707,60,Increase,Anti-Longevity
97,ccr-4,CCR (yeast CCR4/NOT complex component) homolog,Caenorhabditis elegans,178184,33,Decrease,Pro-Longevity
98,CCS1,Ccs1p,Saccharomyces cerevisiae,855054,50,Decrease,Unannotated
99,cct-4,Chaperonin Containing TCP-1,Caenorhabditis elegans,174330,28,Increase,Anti-Longevity
