tax_id	GeneID	Ensembl_gene_identifier	RNA_nucleotide_accession.version	Ensembl_rna_identifier	protein_accession.version	Ensembl_protein_identifier
7227	30988	FBgn0029522	NM_130484.3	FBtr0070076	NP_569840.1	FBpp0070075
7227	30990	FBgn0029524	NM_001272167.1	FBtr0336920	NP_001259096.1	FBpp0307857
7227	30990	FBgn0029524	NM_001272168.1	FBtr0336921	NP_001259097.1	FBpp0307858
7227	30990	FBgn0029524	NM_001297811.1	FBtr0343501	NP_001284740.1	FBpp0310106
7227	30990	FBgn0029524	NM_130486.4	FBtr0070078	NP_569842.1	FBpp0070077
7227	30991	FBgn0029525	NM_130487.4	FBtr0070094	NP_569843.2	FBpp0070089
7227	30994	FBgn0023536	NM_130488.3	FBtr0070079	NP_569844.2	FBpp0070078
7227	30995	FBgn0023537	NM_130489.3	FBtr0070092	NP_569845.2	FBpp0070087
7227	30995	FBgn0023537	NM_166844.1	FBtr0070093	NP_726672.1	FBpp0070088
7227	30996	FBgn0023534	NM_001297812.1	FBtr0340145	NP_001284741.1	FBpp0309131
7227	30996	FBgn0023534	NM_130490.2	FBtr0070080	NP_569846.2	FBpp0070079
7227	30998	FBgn0004648	NM_001144669.2	FBtr0290017	NP_001138141.1	FBpp0288456
7227	30998	FBgn0004648	NM_001297813.1	FBtr0340146	NP_001284742.1	FBpp0309132
7227	30998	FBgn0004648	NM_001297814.1	FBtr0344737	NP_001284743.1	FBpp0311069
7227	30998	FBgn0004648	NM_001297815.1	FBtr0344739	NP_001284744.1	FBpp0311071
7227	30998	FBgn0004648	NM_080293.4	FBtr0070081	NP_525032.2	FBpp0070080
7227	30998	FBgn0004648	NM_166846.5	FBtr0290016	NP_726675.3	FBpp0288455
7227	30998	FBgn0004648	NM_176679.3	FBtr0344738	NP_788852.2	FBpp0311070
7227	30998	FBgn0004648	NM_206596.2	FBtr0070087	NP_996319.1	FBpp0089126
7227	30998	FBgn0004648	NM_206597.2	FBtr0070086	NP_996320.1	FBpp0089125
7227	30998	FBgn0004648	NM_206598.3	FBtr0070085	NP_996321.1	FBpp0089124
7227	30998	FBgn0004648	NM_206599.2	FBtr0070084	NP_996322.1	FBpp0089123
7227	31000	FBgn0260400	NM_001014713.4	FBtr0100254	NP_001014713.1	FBpp0099643
7227	31000	FBgn0260400	NM_001144670.2	FBtr0114366	NP_001138142.1	FBpp0112915
7227	31000	FBgn0260400	NM_001258518.3	FBtr0307173	NP_001245447.1	FBpp0298002
7227	31000	FBgn0260400	NM_080294.5	FBtr0070091	NP_525033.1	FBpp0070086
7227	31001	FBgn0024983	NM_001038727.1	FBtr0100476	NP_001033816.1	FBpp0099909
7227	31001	FBgn0024983	NM_001038728.3	FBtr0100475	NP_001033817.1	FBpp0099908
7227	31001	FBgn0024983	NM_001272170.1	FBtr0334033	NP_001259099.1	FBpp0306149
7227	31001	FBgn0024983	NM_130491.5	FBtr0070089	NP_569847.1	FBpp0070084
7227	31001	FBgn0024983	NM_166847.4	FBtr0070090	NP_726677.1	FBpp0070085
7227	31002	FBgn0000108	NM_001258519.1	FBtr0307291	NP_001245448.1	FBpp0298292
7227	31002	FBgn0000108	NM_001258520.2	FBtr0307292	NP_001245449.1	FBpp0298293
7227	31002	FBgn0000108	NM_001258521.2	FBtr0307293	NP_001245450.1	FBpp0298294
7227	31002	FBgn0000108	NM_001258522.2	FBtr0307294	NP_001245451.1	FBpp0298295
7227	31002	FBgn0000108	NM_001258523.2	FBtr0307295	NP_001245452.1	FBpp0298296
7227	31002	FBgn0000108	NM_057278.5	FBtr0070109	NP_476626.2	FBpp0070104
7227	31003	FBgn0261930	NM_001042788.4	FBtr0110929	NP_001036253.1	FBpp0110229
7227	31003	FBgn0261930	NM_057438.4	FBtr0070110	NP_476786.2	FBpp0070105
7227	31004	FBgn0025633	NM_001042789.2	FBtr0110791	NP_001036254.1	FBpp0110088
7227	31004	FBgn0025633	NM_001297816.1	FBtr0339430	NP_001284745.1	FBpp0308517
7227	31004	FBgn0025633	NM_001297817.1	FBtr0339431	NP_001284746.1	FBpp0308518
7227	31004	FBgn0025633	NM_001297818.1	FBtr0339432	NP_001284747.1	FBpp0308519
7227	31004	FBgn0025633	NM_001297819.1	FBtr0339433	NP_001284748.1	FBpp0308520
7227	31004	FBgn0025633	NM_001297820.1	FBtr0339434	NP_001284749.1	FBpp0308521
7227	31004	FBgn0025633	NM_130492.3	FBtr0070161	NP_569848.2	FBpp0070156
7227	31005	FBgn0029529	NM_130493.2	FBtr0070160	NP_569849.1	FBpp0070155
7227	31006	FBgn0016038	NM_001272171.1	FBtr0335122	NP_001259100.1	FBpp0307122
7227	31006	FBgn0016038	NM_001272172.1	FBtr0335123	NP_001259101.1	FBpp0307123
7227	31006	FBgn0016038	NM_080295.3	FBtr0089726	NP_525034.2	FBpp0088667
7227	31006	FBgn0016038	NM_166848.2	FBtr0089725	NP_726679.1	FBpp0088666
7227	31006	FBgn0016038	NM_166849.2	FBtr0089723	NP_726680.1	FBpp0088664
7227	31006	FBgn0016038	NM_166850.2	FBtr0089724	NP_726681.1	FBpp0088665
7227	31007	FBgn0025640	NM_130494.4	FBtr0070115	NP_569850.1	FBpp0070110
7227	31009	FBgn0002579	NM_001297821.1	FBtr0345321	NP_001284750.1	FBpp0311481
7227	31009	FBgn0002579	NM_057281.4	FBtr0070155	NP_476629.1	FBpp0070150
7227	31009	FBgn0002579	NM_166853.2	FBtr0070156	NP_726686.1	FBpp0070151
7227	31009	FBgn0002579	NM_166854.2	FBtr0070158	NP_726687.1	FBpp0070153
7227	31009	FBgn0002579	NM_166855.2	FBtr0070157	NP_726688.1	FBpp0070152
