PRODUCTID	PRODUCTNDC	PRODUCTTYPENAME	PROPRIETARYNAME	PROPRIETARYNAMESUFFIX	NONPROPRIETARYNAME	DOSAGEFORMNAME	ROUTENAME	STARTMARKETINGDATE	ENDMARKETINGDATE	MARKETINGCATEGORYNAME	APPLICATIONNUMBER	LABELERNAME	SUBSTANCENAME	ACTIVE_NUMERATOR_STRENGTH	ACTIVE_INGRED_UNIT	PHARM_CLASSES	DEASCHEDULE	NDC_EXCLUDE_FLAG	LISTING_RECORD_CERTIFIED_THROUGH
0002-3228_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3228	HUMAN PRESCRIPTION DRUG	Strattera		Atomoxetine hydrochloride	CAPSULE	ORAL	20021126		NDA	NDA021411	Eli Lilly and Company	ATOMOXETINE HYDROCHLORIDE	25	mg/1	Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]		N	20201231
0002-3229_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3229	HUMAN PRESCRIPTION DRUG	Strattera		Atomoxetine hydrochloride	CAPSULE	ORAL	20021126		NDA	NDA021411	Eli Lilly and Company	ATOMOXETINE HYDROCHLORIDE	40	mg/1	Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]		N	20201231
0002-3230_89af030d-8f23-4e54-92f0-724df4d81712	0002-3230	HUMAN PRESCRIPTION DRUG	Symbyax		Olanzapine and Fluoxetine hydrochloride	CAPSULE	ORAL	20070409		NDA	NDA021520	Eli Lilly and Company	OLANZAPINE; FLUOXETINE HYDROCHLORIDE	3; 25	mg/1; mg/1	Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	20201231
0002-3231_89af030d-8f23-4e54-92f0-724df4d81712	0002-3231	HUMAN PRESCRIPTION DRUG	Symbyax		Olanzapine and Fluoxetine hydrochloride	CAPSULE	ORAL	20031224		NDA	NDA021520	Eli Lilly and Company	OLANZAPINE; FLUOXETINE HYDROCHLORIDE	6; 25	mg/1; mg/1	Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	20201231
0002-3232_89af030d-8f23-4e54-92f0-724df4d81712	0002-3232	HUMAN PRESCRIPTION DRUG	Symbyax		Olanzapine and Fluoxetine hydrochloride	CAPSULE	ORAL	20031224	20190731	NDA	NDA021520	Eli Lilly and Company	OLANZAPINE; FLUOXETINE HYDROCHLORIDE	12; 25	mg/1; mg/1	Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	
0002-3233_89af030d-8f23-4e54-92f0-724df4d81712	0002-3233	HUMAN PRESCRIPTION DRUG	Symbyax		Olanzapine and Fluoxetine hydrochloride	CAPSULE	ORAL	20031224		NDA	NDA021520	Eli Lilly and Company	OLANZAPINE; FLUOXETINE HYDROCHLORIDE	6; 50	mg/1; mg/1	Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	20201231
0002-3234_89af030d-8f23-4e54-92f0-724df4d81712	0002-3234	HUMAN PRESCRIPTION DRUG	Symbyax		Olanzapine and Fluoxetine hydrochloride	CAPSULE	ORAL	20031224		NDA	NDA021520	Eli Lilly and Company	OLANZAPINE; FLUOXETINE HYDROCHLORIDE	12; 50	mg/1; mg/1	Atypical Antipsychotic [EPC],Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	20201231
0002-3235_48f72160-f6f7-4890-8471-041da7cdd3a7	0002-3235	HUMAN PRESCRIPTION DRUG	Cymbalta		Duloxetine hydrochloride	CAPSULE, DELAYED RELEASE	ORAL	20040824		NDA	NDA021427	Eli Lilly and Company	DULOXETINE HYDROCHLORIDE	20	mg/1	Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	20191231
0002-3238_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3238	HUMAN PRESCRIPTION DRUG	Strattera		Atomoxetine hydrochloride	CAPSULE	ORAL	20021126		NDA	NDA021411	Eli Lilly and Company	ATOMOXETINE HYDROCHLORIDE	18	mg/1	Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]		N	20201231
0002-3239_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3239	HUMAN PRESCRIPTION DRUG	Strattera		Atomoxetine hydrochloride	CAPSULE	ORAL	20021126		NDA	NDA021411	Eli Lilly and Company	ATOMOXETINE HYDROCHLORIDE	60	mg/1	Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]		N	20201231
0002-3240_48f72160-f6f7-4890-8471-041da7cdd3a7	0002-3240	HUMAN PRESCRIPTION DRUG	Cymbalta		Duloxetine hydrochloride	CAPSULE, DELAYED RELEASE	ORAL	20040824		NDA	NDA021427	Eli Lilly and Company	DULOXETINE HYDROCHLORIDE	30	mg/1	Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	20191231
0002-3250_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3250	HUMAN PRESCRIPTION DRUG	Strattera		Atomoxetine hydrochloride	CAPSULE	ORAL	20050214		NDA	NDA021411	Eli Lilly and Company	ATOMOXETINE HYDROCHLORIDE	80	mg/1	Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]		N	20201231
0002-3251_f1ee27ad-c38e-430a-b027-0b7ebad7403e	0002-3251	HUMAN PRESCRIPTION DRUG	Strattera		Atomoxetine hydrochloride	CAPSULE	ORAL	20050214		NDA	NDA021411	Eli Lilly and Company	ATOMOXETINE HYDROCHLORIDE	100	mg/1	Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]		N	20201231
0002-3270_48f72160-f6f7-4890-8471-041da7cdd3a7	0002-3270	HUMAN PRESCRIPTION DRUG	Cymbalta		Duloxetine hydrochloride	CAPSULE, DELAYED RELEASE	ORAL	20100115		NDA	NDA021427	Eli Lilly and Company	DULOXETINE HYDROCHLORIDE	60	mg/1	Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		N	20191231
0002-4112_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4112	HUMAN PRESCRIPTION DRUG	Zyprexa		Olanzapine	TABLET	ORAL	19970623		NDA	NDA020592	Eli Lilly and Company	OLANZAPINE	2.5	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4115_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4115	HUMAN PRESCRIPTION DRUG	Zyprexa		Olanzapine	TABLET	ORAL	19961001		NDA	NDA020592	Eli Lilly and Company	OLANZAPINE	5	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4116_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4116	HUMAN PRESCRIPTION DRUG	Zyprexa		Olanzapine	TABLET	ORAL	19961001		NDA	NDA020592	Eli Lilly and Company	OLANZAPINE	7.5	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4117_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4117	HUMAN PRESCRIPTION DRUG	Zyprexa		Olanzapine	TABLET	ORAL	19961001		NDA	NDA020592	Eli Lilly and Company	OLANZAPINE	10	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4182_1606b529-d77d-41d8-9379-094caf0241c2	0002-4182	HUMAN PRESCRIPTION DRUG	Olumiant		baricitinib	TABLET, FILM COATED	ORAL	20180531		NDA	NDA207924	Eli Lilly and Company	BARICITINIB	2	mg/1	Janus Kinase Inhibitor [EPC],Janus Kinase Inhibitors [MoA]		N	20191231
0002-4184_837bb79a-76bb-4ffc-ba50-76dc00d61e3c	0002-4184	HUMAN PRESCRIPTION DRUG	Evista		Raloxifene hydrochloride	TABLET	ORAL	19980106		NDA	NDA020815	Eli Lilly and Company	RALOXIFENE HYDROCHLORIDE	60	mg/1	Estrogen Agonist/Antagonist [EPC],Selective Estrogen Receptor Modulators [MoA]		N	20191231
0002-4415_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4415	HUMAN PRESCRIPTION DRUG	Zyprexa		Olanzapine	TABLET	ORAL	20000110		NDA	NDA020592	Eli Lilly and Company	OLANZAPINE	15	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4420_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4420	HUMAN PRESCRIPTION DRUG	Zyprexa		Olanzapine	TABLET	ORAL	20010301		NDA	NDA020592	Eli Lilly and Company	OLANZAPINE	20	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4453_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4453	HUMAN PRESCRIPTION DRUG	ZYPREXA	Zydis 	Olanzapine	TABLET, ORALLY DISINTEGRATING	ORAL	20000601		NDA	NDA021086	Eli Lilly and Company	OLANZAPINE	5	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4454_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4454	HUMAN PRESCRIPTION DRUG	ZYPREXA	Zydis 	Olanzapine	TABLET, ORALLY DISINTEGRATING	ORAL	20000601		NDA	NDA021086	Eli Lilly and Company	OLANZAPINE	10	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4455_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4455	HUMAN PRESCRIPTION DRUG	ZYPREXA	Zydis 	Olanzapine	TABLET, ORALLY DISINTEGRATING	ORAL	20010901		NDA	NDA021086	Eli Lilly and Company	OLANZAPINE	15	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4456_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4456	HUMAN PRESCRIPTION DRUG	ZYPREXA	Zydis 	Olanzapine	TABLET, ORALLY DISINTEGRATING	ORAL	20010901		NDA	NDA021086	Eli Lilly and Company	OLANZAPINE	20	mg/1	Atypical Antipsychotic [EPC]		N	20191231
0002-4462_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4462	HUMAN PRESCRIPTION DRUG	Cialis		Tadalafil	TABLET, FILM COATED	ORAL	20031126		NDA	NDA021368	Eli Lilly and Company	TADALAFIL	5	mg/1	Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]		N	20191231
0002-4463_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4463	HUMAN PRESCRIPTION DRUG	Cialis		Tadalafil	TABLET, FILM COATED	ORAL	20031126		NDA	NDA021368	Eli Lilly and Company	TADALAFIL	10	mg/1	Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]		N	20191231
0002-4464_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4464	HUMAN PRESCRIPTION DRUG	Cialis		Tadalafil	TABLET, FILM COATED	ORAL	20031126		NDA	NDA021368	Eli Lilly and Company	TADALAFIL	20	mg/1	Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]		N	20191231
0002-4465_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4465	HUMAN PRESCRIPTION DRUG	Cialis		Tadalafil	TABLET, FILM COATED	ORAL	20080107		NDA	NDA021368	Eli Lilly and Company	TADALAFIL	2.5	mg/1	Phosphodiesterase 5 Inhibitor [EPC],Phosphodiesterase 5 Inhibitors [MoA]		N	20191231
0002-4483_a08f3459-c291-4438-a5ba-3ce3346188a7	0002-4483	HUMAN PRESCRIPTION DRUG	Verzenio		abemaciclib	TABLET	ORAL	20170928		NDA	NDA208716	Eli Lilly and Company	ABEMACICLIB	50	mg/1	Kinase Inhibitors [MoA],Kinase Inhibitor [EPC]		N	20191231
0002-4815_a08f3459-c291-4438-a5ba-3ce3346188a7	0002-4815	HUMAN PRESCRIPTION DRUG	Verzenio		abemaciclib	TABLET	ORAL	20170928		NDA	NDA208716	Eli Lilly and Company	ABEMACICLIB	100	mg/1	Kinase Inhibitors [MoA],Kinase Inhibitor [EPC]		N	20191231
0002-5121_d626316f-9bda-4627-b0a0-154fd1b4b0b8	0002-5121	HUMAN PRESCRIPTION DRUG	Effient		Prasugrel hydrochloride	TABLET, FILM COATED	ORAL	20090710		NDA	NDA022307	Eli Lilly and Company	PRASUGREL HYDROCHLORIDE	5	mg/1	Decreased Platelet Aggregation [PE],P2Y12 Platelet Inhibitor [EPC],P2Y12 Receptor Antagonists [MoA]		N	20191231
0002-5123_d626316f-9bda-4627-b0a0-154fd1b4b0b8	0002-5123	HUMAN PRESCRIPTION DRUG	Effient		Prasugrel hydrochloride	TABLET, FILM COATED	ORAL	20090710		NDA	NDA022307	Eli Lilly and Company	PRASUGREL HYDROCHLORIDE	10	mg/1	Decreased Platelet Aggregation [PE],P2Y12 Platelet Inhibitor [EPC],P2Y12 Receptor Antagonists [MoA]		N	20191231
0002-5337_a08f3459-c291-4438-a5ba-3ce3346188a7	0002-5337	HUMAN PRESCRIPTION DRUG	Verzenio		abemaciclib	TABLET	ORAL	20170928		NDA	NDA208716	Eli Lilly and Company	ABEMACICLIB	150	mg/1	Kinase Inhibitors [MoA],Kinase Inhibitor [EPC]		N	20191231
0002-6216_a08f3459-c291-4438-a5ba-3ce3346188a7	0002-6216	HUMAN PRESCRIPTION DRUG	Verzenio		abemaciclib	TABLET	ORAL	20170928		NDA	NDA208716	Eli Lilly and Company	ABEMACICLIB	200	mg/1	Kinase Inhibitors [MoA],Kinase Inhibitor [EPC]		N	20191231
0002-7190_3186948d-039a-4bff-8cca-42bd09c773b9	0002-7190	HUMAN PRESCRIPTION DRUG	LARTRUVO		olaratumab	INJECTION, SOLUTION	INTRAVENOUS	20161019		BLA	BLA761038	Eli Lilly and Company	OLARATUMAB	10	mg/mL			N	20191231
0002-7335_b74c9b2a-013f-41ca-8768-f70811b26eb0	0002-7335	HUMAN PRESCRIPTION DRUG	HUMATROPE		Somatropin	KIT	INTRAMUSCULAR; SUBCUTANEOUS	19870401		NDA	NDA019640	Eli Lilly and Company						N	20191231
0002-7501_67807440-b296-4d2c-9b15-23ca9c022480	0002-7501	HUMAN PRESCRIPTION DRUG	Gemzar		Gemcitabine hydrochloride	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	INTRAVENOUS	19960515		NDA	NDA020509	Eli Lilly and Company	GEMCITABINE HYDROCHLORIDE	200	mg/5mL	Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]		N	20191231
0002-7502_67807440-b296-4d2c-9b15-23ca9c022480	0002-7502	HUMAN PRESCRIPTION DRUG	Gemzar		Gemcitabine hydrochloride	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	INTRAVENOUS	19960515		NDA	NDA020509	Eli Lilly and Company	GEMCITABINE HYDROCHLORIDE	1	g/25mL	Nucleic Acid Synthesis Inhibitors [MoA],Nucleoside Metabolic Inhibitor [EPC]		N	20191231
0002-7510_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7510	HUMAN PRESCRIPTION DRUG	Humalog		Insulin lispro	INJECTION, SOLUTION	INTRAVENOUS; SUBCUTANEOUS	19960614		NDA	NDA020563	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-7511_c6e8c01e-451b-42ed-9f25-7e7d227d2795	0002-7511	HUMAN PRESCRIPTION DRUG	Humalog	Mix75/25 	Insulin lispro	INJECTION, SUSPENSION	SUBCUTANEOUS	19991222		NDA	NDA021017	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-7512_7244a003-760b-4b26-a9dc-06ac6fc42d47	0002-7512	HUMAN PRESCRIPTION DRUG	Humalog	Mix50/50 	Insulin lispro	INJECTION, SUSPENSION	SUBCUTANEOUS	19991222		NDA	NDA021018	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-7516_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7516	HUMAN PRESCRIPTION DRUG	Humalog		Insulin lispro	INJECTION, SOLUTION	INTRAVENOUS; SUBCUTANEOUS	19980220		NDA	NDA020563	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-7597_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-7597	HUMAN PRESCRIPTION DRUG	ZYPREXA	Intramuscular 	Olanzapine	INJECTION, POWDER, FOR SOLUTION	INTRAMUSCULAR	20040401		NDA	NDA021253	Eli Lilly and Company	OLANZAPINE	10	mg/2mL	Atypical Antipsychotic [EPC]		N	20191231
0002-7623_55e080d5-d7a8-45b8-9d52-11629342cb7c	0002-7623	HUMAN PRESCRIPTION DRUG	Alimta		Pemetrexed disodium	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	INTRAVENOUS	20040204		NDA	NDA021462	Eli Lilly and Company	PEMETREXED DISODIUM HEPTAHYDRATE	500	mg/20mL	Folate Analog Metabolic Inhibitor [EPC],Folic Acid Metabolism Inhibitors [MoA]		N	20201231
0002-7635_0738dd1d-0804-49d5-8521-3a9e9ae52fc3	0002-7635	HUMAN PRESCRIPTION DRUG	ZYPREXA	Relprevv 	Olanzapine pamoate	KIT	INTRAMUSCULAR	20091211		NDA	NDA022173	Eli Lilly and Company						N	20191231
0002-7636_0738dd1d-0804-49d5-8521-3a9e9ae52fc3	0002-7636	HUMAN PRESCRIPTION DRUG	ZYPREXA	Relprevv 	Olanzapine pamoate	KIT	INTRAMUSCULAR	20091211		NDA	NDA022173	Eli Lilly and Company						N	20191231
0002-7637_0738dd1d-0804-49d5-8521-3a9e9ae52fc3	0002-7637	HUMAN PRESCRIPTION DRUG	ZYPREXA	Relprevv 	Olanzapine pamoate	KIT	INTRAMUSCULAR	20091211		NDA	NDA022173	Eli Lilly and Company						N	20191231
0002-7640_55e080d5-d7a8-45b8-9d52-11629342cb7c	0002-7640	HUMAN PRESCRIPTION DRUG	Alimta		Pemetrexed disodium	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	INTRAVENOUS	20070907		NDA	NDA021462	Eli Lilly and Company	PEMETREXED DISODIUM HEPTAHYDRATE	100	mg/4mL	Folate Analog Metabolic Inhibitor [EPC],Folic Acid Metabolism Inhibitors [MoA]		N	20201231
0002-7669_7e611768-6fcf-4af1-af62-af9263bf8562	0002-7669	HUMAN PRESCRIPTION DRUG	CYRAMZA		ramucirumab	SOLUTION	INTRAVENOUS	20140421		BLA	BLA125477	Eli Lilly and Company	RAMUCIRUMAB	10	mg/mL	Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC],VEGFR2 Inhibitors [MoA]		N	20191231
0002-7678_7e611768-6fcf-4af1-af62-af9263bf8562	0002-7678	HUMAN PRESCRIPTION DRUG	CYRAMZA		ramucirumab	SOLUTION	INTRAVENOUS	20140421		BLA	BLA125477	Eli Lilly and Company	RAMUCIRUMAB	10	mg/mL	Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC],VEGFR2 Inhibitors [MoA]		N	20191231
0002-7712_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7712	HUMAN PRESCRIPTION DRUG	Humalog	KwikPen 	Insulin lispro	INJECTION, SOLUTION	SUBCUTANEOUS	20150526		NDA	NDA205747	Eli Lilly and Company	INSULIN LISPRO	200	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-7714_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7714	HUMAN PRESCRIPTION DRUG	Humalog	 Junior KwikPen 	Insulin lispro	INJECTION, SOLUTION	SUBCUTANEOUS	20170606		NDA	NDA020563	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-7715_0cb55987-d725-420c-8eb2-f6e554e20280	0002-7715	HUMAN PRESCRIPTION DRUG	BASAGLAR		Insulin glargine	INJECTION, SOLUTION	SUBCUTANEOUS	20151216		NDA	NDA205692	Eli Lilly and Company	INSULIN GLARGINE	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20201231
0002-7716_62de9272-71de-4b81-8ccf-ad7806f02081	0002-7716	HUMAN PRESCRIPTION DRUG	Portrazza		necitumumab	SOLUTION	INTRAVENOUS	20151124		BLA	BLA125547	Eli Lilly and Company	NECITUMUMAB	16	mg/mL	Epidermal Growth Factor Receptor Antagonist [EPC],HER1 Antagonists [MoA]		N	20191231
0002-7724_e779cf1f-265c-4fed-931d-102fbaf7e14b	0002-7724	HUMAN PRESCRIPTION DRUG	TALTZ		ixekizumab	INJECTION, SOLUTION	SUBCUTANEOUS	20160322		BLA	BLA125521	Eli Lilly and Company	IXEKIZUMAB	80	mg/mL	Interleukin-17A Antagonist [EPC],Interleukin-17A Antagonists [MoA]		N	20191231
0002-8031_f43b949f-3a0a-43bf-863d-4de52abe5faf	0002-8031	HUMAN PRESCRIPTION DRUG	Glucagon		glucagon	KIT		19990301		NDA	NDA020928	Eli Lilly and Company						N	20191231
0002-8147_b74c9b2a-013f-41ca-8768-f70811b26eb0	0002-8147	HUMAN PRESCRIPTION DRUG	HUMATROPE		Somatropin	KIT	INTRAMUSCULAR; SUBCUTANEOUS	20060127		NDA	NDA019640	Eli Lilly and Company						N	20191231
0002-8148_b74c9b2a-013f-41ca-8768-f70811b26eb0	0002-8148	HUMAN PRESCRIPTION DRUG	HUMATROPE		Somatropin	KIT	INTRAMUSCULAR; SUBCUTANEOUS	20060127		NDA	NDA019640	Eli Lilly and Company						N	20191231
0002-8149_b74c9b2a-013f-41ca-8768-f70811b26eb0	0002-8149	HUMAN PRESCRIPTION DRUG	HUMATROPE		Somatropin	KIT	INTRAMUSCULAR; SUBCUTANEOUS	20060127		NDA	NDA019640	Eli Lilly and Company						N	20191231
0002-8215_4562cc37-b4df-44f9-87f2-c92d8f83f824	0002-8215	HUMAN OTC DRUG	Humulin	R 	Insulin human	INJECTION, SOLUTION	PARENTERAL	19830627		NDA	NDA018780	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL			N	20191231
0002-8315_4bb5d1cb-0fa7-48c7-9f6d-8d45f9b91649	0002-8315	HUMAN OTC DRUG	Humulin	N 	Insulin human	INJECTION, SUSPENSION	SUBCUTANEOUS	19830627		NDA	NDA018781	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL			N	20191231
0002-8400_4d0a0023-d348-41dd-a689-43971e41d26f	0002-8400	HUMAN PRESCRIPTION DRUG	Forteo		Teriparatide	INJECTION, SOLUTION	SUBCUTANEOUS	20021126		NDA	NDA021318	Eli Lilly and Company	TERIPARATIDE	250	ug/mL	Parathyroid Hormone [CS],Parathyroid Hormone Analog [EPC]		N	20191231
0002-8501_01dcc798-7fba-4eb7-af12-001ab92dee6e	0002-8501	HUMAN PRESCRIPTION DRUG	Humulin	R U-500 	Insulin human	INJECTION, SOLUTION	SUBCUTANEOUS	19940331		NDA	NDA018780	Eli Lilly and Company	INSULIN HUMAN	500	[iU]/mL	Insulin [EPC],Insulin [CS]		N	20191231
