database,gene_id,symbol,association,phenotype,paper,ud1,variant,ud2,ud3,cosmid,type,tax_id,mod_date,ud4,,
WB,WBGene00000018,abl-1,,WBPhenotype:0000386,WB_REF:WBPaper00033433,IMP,WB:WBVar00091489,P,,M79.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000018,abl-1,,WBPhenotype:0000436,WB_REF:WBPaper00032243,IMP,WB:WBVar00091489,P,,M79.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000018,abl-1,,WBPhenotype:0000730,WB_REF:WBPaper00032243,IMP,WB:WBVar00091489,P,,M79.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000018,abl-1,,WBPhenotype:0001391,WB_REF:WBPaper00032243,IMP,WB:WBVar00091489,P,,M79.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000018,abl-1,,WBPhenotype:0001742,WB_REF:WBPaper00032243,IMP,WB:WBVar00091489,P,,M79.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000018,abl-1,NOT,WBPhenotype:0001851,WB_REF:WBPaper00027700,IMP,WB:WBVar00091489,P,,M79.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000019,abt-1,NOT,WBPhenotype:0000062,WB:WBVar00249733,IMP,,P,,C24F3.5,gene,taxon:6239,20181214,WB,,
WB,WBGene00000020,abt-2,NOT,WBPhenotype:0000062,WB:WBVar00249543,IMP,,P,,F12B6.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000020,abt-2,NOT,WBPhenotype:0000062,WB:WBVar02147825,IMP,,P,,F12B6.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000020,abt-2,NOT,WBPhenotype:0000743,WB:WBVar00249543,IMP,,P,,F12B6.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000021,abt-3,NOT,WBPhenotype:0000062,WB:WBVar02144828,IMP,,P,,F55G11.9,gene,taxon:6239,20181214,WB,,
WB,WBGene00000022,abt-4,NOT,WBPhenotype:0000062,WB:WBVar00250069,IMP,,P,,Y39D8C.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000022,abt-4,NOT,WBPhenotype:0000062,WB:WBVar02147861,IMP,,P,,Y39D8C.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000022,abt-4,NOT,WBPhenotype:0000743,WB:WBVar00250069,IMP,,P,,Y39D8C.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000031,abu-8,NOT,WBPhenotype:0000062,WB:WBVar00251999,IMP,,P,,C03A7.14,gene,taxon:6239,20181214,WB,,
WB,WBGene00000031,abu-8,NOT,WBPhenotype:0000062,WB:WBVar02148124,IMP,,P,,C03A7.14,gene,taxon:6239,20181214,WB,,
WB,WBGene00000031,abu-8,NOT,WBPhenotype:0001012,WB_REF:WBPaper00032196,IMP,WB:WBVar00092824,P,,C03A7.14,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,,WBPhenotype:0000124,WB_REF:WBPaper00000514,IMP,WB:WBVar00095133,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,,WBPhenotype:0000177,WB:WBVar00095133,IMP,WB:WBPerson261,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,,WBPhenotype:0001289,WB_REF:WBPaper00000795,IMP,WB:WBVar00095133,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,,WBPhenotype:0001987,WB_REF:WBPaper00001039,IMP,WB:WBVar00095133,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,,WBPhenotype:0001988,WB_REF:WBPaper00000514,IMP,WB:WBVar00095133,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,,WBPhenotype:0002077,WB_REF:WBPaper00038270,IMP,WB:WBVar00604230,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,,WBPhenotype:0002241,WB_REF:WBPaper00051284,IMP,WB:WBVar00095133,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,,WBPhenotype:0004028,WB_REF:WBPaper00038270,IMP,WB:WBVar00095133|WB:WBVar00604230,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,NOT,WBPhenotype:0000062,WB:WBVar02146275,IMP,,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,NOT,WBPhenotype:0000517,WB:WBVar00095133,IMP,WB:WBPerson261,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,NOT,WBPhenotype:0000643,WB_REF:WBPaper00000795,IMP,WB:WBVar00095133,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000035,ace-1,NOT,WBPhenotype:0002114,WB_REF:WBPaper00038270,IMP,WB:WBVar00604230,P,,W09B12.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,,WBPhenotype:0000124,WB_REF:WBPaper00003620,IMP,WB:WBVar00145393,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,,WBPhenotype:0000177,WB:WBVar00145393,IMP,WB:WBPerson261,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,,WBPhenotype:0000643,WB_REF:WBPaper00003620,IMP,WB:WBVar00145393,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,,WBPhenotype:0001289,WB_REF:WBPaper00000514,IMP,WB:WBVar00145393,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,,WBPhenotype:0001987,WB_REF:WBPaper00001039,IMP,WB:WBVar00145393,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,,WBPhenotype:0001988,WB_REF:WBPaper00000514,IMP,WB:WBVar00145393,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,,WBPhenotype:0004028,WB_REF:WBPaper00038270,IMP,WB:WBVar00145393,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,NOT,WBPhenotype:0000517,WB:WBVar00145393,IMP,WB:WBPerson261,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,NOT,WBPhenotype:0000643,WB_REF:WBPaper00000795,IMP,WB:WBVar00145393,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000036,ace-2,NOT,WBPhenotype:0002114,WB_REF:WBPaper00038270,IMP,WB:WBVar00145393,P,,Y44E3A.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000037,ace-3,,WBPhenotype:0000177,WB:WBVar00142796,IMP,WB:WBPerson261,P,,Y48B6A.8,gene,taxon:6239,20181214,WB,,
WB,WBGene00000037,ace-3,,WBPhenotype:0001987,WB_REF:WBPaper00001039,IMP,WB:WBVar00095140|WB:WBVar00142796|WB:WBVar00142797|WB:WBVar00323191,P,,Y48B6A.8,gene,taxon:6239,20181214,WB,,
WB,WBGene00000037,ace-3,NOT,WBPhenotype:0000062,WB:WBVar00604007,IMP,,P,,Y48B6A.8,gene,taxon:6239,20181214,WB,,
WB,WBGene00000037,ace-3,NOT,WBPhenotype:0000062,WB:WBVar01474384,IMP,,P,,Y48B6A.8,gene,taxon:6239,20181214,WB,,
WB,WBGene00000037,ace-3,NOT,WBPhenotype:0000517,WB:WBVar00142796,IMP,WB:WBPerson261,P,,Y48B6A.8,gene,taxon:6239,20181214,WB,,
WB,WBGene00000038,ace-4,,WBPhenotype:0000177,WB:WBVar00142796,IMP,WB:WBPerson261,P,,Y48B6A.7,gene,taxon:6239,20181214,WB,,
WB,WBGene00000038,ace-4,,WBPhenotype:0001987,WB_REF:WBPaper00001039,IMP,WB:WBVar00142796,P,,Y48B6A.7,gene,taxon:6239,20181214,WB,,
WB,WBGene00000038,ace-4,NOT,WBPhenotype:0000062,WB:WBVar02145202,IMP,,P,,Y48B6A.7,gene,taxon:6239,20181214,WB,,
WB,WBGene00000038,ace-4,NOT,WBPhenotype:0000517,WB:WBVar00142796,IMP,WB:WBPerson261,P,,Y48B6A.7,gene,taxon:6239,20181214,WB,,
WB,WBGene00000039,acn-1,,WBPhenotype:0000050,WB:WBVar00249870,IMP,,P,,C42D8.5,gene,taxon:6239,20181214,WB,,
WB,WBGene00000039,acn-1,,WBPhenotype:0000062,WB:WBVar00249870,IMP,,P,,C42D8.5,gene,taxon:6239,20181214,WB,,
WB,WBGene00000039,acn-1,,WBPhenotype:0000688,WB:WBVar00249870,IMP,,P,,C42D8.5,gene,taxon:6239,20181214,WB,,
WB,WBGene00000040,aco-1,NOT,WBPhenotype:0000062,WB:WBVar00249725,IMP,,P,,ZK455.1,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000016,WB_REF:WBPaper00035548,IMP,WB:WBVar00090467,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000022,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000420,WB_REF:WBPaper00035548,IMP,WB:WBVar00090467,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000542,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000643,WB_REF:WBPaper00035548,IMP,WB:WBVar00090467,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000655,WB_REF:WBPaper00038410,IMP,WB:WBVar00090467,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000656,WB_REF:WBPaper00038410,IMP,WB:WBVar00090467,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000688,WB:WBVar00323212,IMP,WB:WBPerson261,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0000977,WB:WBVar00323212,IMP,WB:WBPerson261,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0001005,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0001701,WB_REF:WBPaper00038410,IMP,WB:WBVar00090467,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002286,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002289,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002293,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002296,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002300,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002303,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002309,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002312,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002319,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002322,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002325,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002328,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
WB,WBGene00000042,acr-2,,WBPhenotype:0002337,WB_REF:WBPaper00043908,IMP,WB:WBVar00093083,P,,K11G12.2,gene,taxon:6239,20181214,WB,,
