tax_id	GeneID	Vega_gene_identifier	RNA_nucleotide_accession.version	Vega_rna_identifier	protein_accession.version	Vega_protein_identifier
7955	30159	OTTDARG00000033075	NM_130972.1	OTTDART00000046388	NP_571047.1	OTTDARP00000036585
7955	30163	OTTDARG00000031769	XM_005159471.3	OTTDART00000044264	XP_005159528.1	OTTDARP00000035040
7955	30164	OTTDARG00000021245	-	-	XP_005157364.1	OTTDARP00000022078
7955	30164	OTTDARG00000021245	NM_130975.2	OTTDART00000026935	NP_571050.1	OTTDARP00000022079
7955	30166	OTTDARG00000020573	-	-	XP_009304860.1	OTTDARP00000021198
7955	30167	OTTDARG00000018716	NM_130977.1	OTTDART00000022776	NP_571052.1	OTTDARP00000019034
7955	30169	OTTDARG00000026058	NM_130978.2	OTTDART00000034480	NP_571053.1	OTTDARP00000027792
7955	30170	OTTDARG00000020810	NM_130979.3	OTTDART00000026179	NP_571054.1	OTTDARP00000021500
7955	30171	OTTDARG00000025517	NM_130980.1	OTTDART00000033571	NP_571055.1	OTTDARP00000027169
7955	30172	OTTDARG00000013014	NM_130981.2	OTTDART00000015422	NP_571056.2	OTTDARP00000013095
7955	30173	OTTDARG00000035721	NM_130982.1	OTTDART00000058806	NP_571057.1	OTTDARP00000045926
7955	30174	OTTDARG00000019599	NM_130983.2	OTTDART00000024120	NP_571058.2	OTTDARP00000019959
7955	30175	OTTDARG00000029279	NM_130984.2	OTTDART00000040141	NP_571059.1	OTTDARP00000032090
7955	30177	OTTDARG00000020702	-	-	XP_005156675.1	OTTDARP00000021361
7955	30177	OTTDARG00000020702	-	-	XP_005156677.1	OTTDARP00000021360
7955	30177	OTTDARG00000020702	NM_130986.1	OTTDART00000025998	NP_571061.1	OTTDARP00000021357
7955	30180	OTTDARG00000038227	NM_130987.1	OTTDART00000054774	NP_571062.1	OTTDARP00000042987
7955	30183	OTTDARG00000028141	NM_130990.1	OTTDART00000038195	NP_571065.1	OTTDARP00000030612
7955	30185	OTTDARG00000039129	NM_130992.2	OTTDART00000056132	NP_571067.1	OTTDARP00000044018
7955	30186	OTTDARG00000043679	NM_130993.2	OTTDART00000063399	NP_571068.2	OTTDARP00000049598
7955	30187	OTTDARG00000012669	NM_130994.1	OTTDART00000014971	NP_571069.1	OTTDARP00000012715
7955	30188	OTTDARG00000020260	NM_130995.1	OTTDART00000025272	NP_571070.1	OTTDARP00000020796
7955	30189	OTTDARG00000020299	NM_001305542.1	OTTDART00000025341	NP_001292471.1	OTTDARP00000020852
7955	30190	OTTDARG00000027335	NM_130997.2	OTTDART00000036708	NP_571072.2	OTTDARP00000029443
7955	30192	OTTDARG00000019852	NM_130998.1	OTTDART00000024569	NP_571073.1	OTTDARP00000020271
7955	30194	OTTDARG00000008167	-	-	XP_005172692.1	OTTDARP00000008021
7955	30196	OTTDARG00000029042	NM_131002.2	OTTDART00000039796	NP_571077.2	OTTDARP00000031814
7955	30197	OTTDARG00000020510	-	-	XP_005173020.1	OTTDARP00000021120
7955	30197	OTTDARG00000020510	NM_131003.1	OTTDART00000025692	NP_571078.1	OTTDARP00000021119
7955	30199	OTTDARG00000042793	NM_131005.2	OTTDART00000061839	NP_571080.1	OTTDARP00000048359
7955	30200	OTTDARG00000018226	NM_131006.1	OTTDART00000022054	NP_571081.1	OTTDARP00000018517
7955	30201	OTTDARG00000020937	NM_131007.1	OTTDART00000026408	NP_571082.1	OTTDARP00000021668
7955	30202	OTTDARG00000020926	NM_131008.4	OTTDART00000026392	NP_571083.4	OTTDARP00000021656
7955	30203	OTTDARG00000020242	NM_131009.1	OTTDART00000025233	NP_571084.1	OTTDARP00000020767
7955	30206	OTTDARG00000013790	-	-	XP_005159096.1	OTTDARP00000013919
7955	30208	OTTDARG00000027377	NM_131014.1	OTTDART00000036789	NP_571089.1	OTTDARP00000029497
7955	30211	OTTDARG00000027186	NM_001164371.1	OTTDART00000036442	NP_001157843.1	OTTDARP00000029242
7955	30212	OTTDARG00000002180	NM_131017.1	OTTDART00000002349	NP_571092.1	OTTDARP00000002078
7955	30214	OTTDARG00000019449	NM_131018.1	OTTDART00000023895	NP_571093.1	OTTDARP00000019794
