PRODUCTID	PRODUCTNDC	NDCPACKAGECODE	PACKAGEDESCRIPTION	STARTMARKETINGDATE	ENDMARKETINGDATE	NDC_EXCLUDE_FLAG	SAMPLE_PACKAGE
0002-4455_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4455	0002-4455-85	30 DOSE PACK in 1 CARTON (0002-4455-85)  > 1 BLISTER PACK in 1 DOSE PACK (0002-4455-01)  > 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK	20010901		N	N
0002-4456_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-4456	0002-4456-85	30 DOSE PACK in 1 CARTON (0002-4456-85)  > 1 BLISTER PACK in 1 DOSE PACK (0002-4456-01)  > 1 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK	20010901		N	N
0002-4462_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4462	0002-4462-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4462-30) 	20031126		N	N
0002-4462_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4462	0002-4462-34	2 BLISTER PACK in 1 CARTON (0002-4462-34)  > 15 TABLET, FILM COATED in 1 BLISTER PACK (0002-4462-79) 	20080107		N	N
0002-4462_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4462	0002-4462-61	2 BLISTER PACK in 1 CARTON (0002-4462-61)  > 15 TABLET, FILM COATED in 1 BLISTER PACK	20080107		N	Y
0002-4463_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4463	0002-4463-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4463-30) 	20031126		N	N
0002-4464_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4464	0002-4464-01	1 BLISTER PACK in 1 CARTON (0002-4464-01)  > 3 TABLET, FILM COATED in 1 BLISTER PACK	20031126		N	Y
0002-4464_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4464	0002-4464-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-4464-30) 	20031126		N	N
0002-4465_4a35ae3c-3201-43da-82ee-7a90edc9b4d6	0002-4465	0002-4465-34	2 BLISTER PACK in 1 CARTON (0002-4465-34)  > 15 TABLET, FILM COATED in 1 BLISTER PACK (0002-4465-79) 	20080107		N	N
0002-4483_a08f3459-c291-4438-a5ba-3ce3346188a7	0002-4483	0002-4483-54	1 BLISTER PACK in 1 CARTON (0002-4483-54)  > 14 TABLET in 1 BLISTER PACK	20171006		N	N
0002-4815_a08f3459-c291-4438-a5ba-3ce3346188a7	0002-4815	0002-4815-54	1 BLISTER PACK in 1 CARTON (0002-4815-54)  > 14 TABLET in 1 BLISTER PACK	20171006		N	N
0002-5121_d626316f-9bda-4627-b0a0-154fd1b4b0b8	0002-5121	0002-5121-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-5121-30) 	20120301		N	N
0002-5121_d626316f-9bda-4627-b0a0-154fd1b4b0b8	0002-5121	0002-5121-52	24 BLISTER PACK in 1 CARTON (0002-5121-52)  > 1 TABLET, FILM COATED in 1 BLISTER PACK (0002-5121-01) 	20120301		N	N
0002-5123_d626316f-9bda-4627-b0a0-154fd1b4b0b8	0002-5123	0002-5123-07	7 TABLET, FILM COATED in 1 BOTTLE (0002-5123-07) 	20120301		N	Y
0002-5123_d626316f-9bda-4627-b0a0-154fd1b4b0b8	0002-5123	0002-5123-30	30 TABLET, FILM COATED in 1 BOTTLE (0002-5123-30) 	20120301		N	N
0002-5123_d626316f-9bda-4627-b0a0-154fd1b4b0b8	0002-5123	0002-5123-77	90 BLISTER PACK in 1 CARTON (0002-5123-77)  > 1 TABLET, FILM COATED in 1 BLISTER PACK (0002-5123-01) 	20120301		N	N
0002-5337_a08f3459-c291-4438-a5ba-3ce3346188a7	0002-5337	0002-5337-54	1 BLISTER PACK in 1 CARTON (0002-5337-54)  > 14 TABLET in 1 BLISTER PACK	20171006		N	N
0002-6216_a08f3459-c291-4438-a5ba-3ce3346188a7	0002-6216	0002-6216-54	1 BLISTER PACK in 1 CARTON (0002-6216-54)  > 14 TABLET in 1 BLISTER PACK	20171006		N	N
0002-7190_3186948d-039a-4bff-8cca-42bd09c773b9	0002-7190	0002-7190-01	1 VIAL, SINGLE-USE in 1 CARTON (0002-7190-01)  > 19 mL in 1 VIAL, SINGLE-USE	20170214		N	N
0002-7335_b74c9b2a-013f-41ca-8768-f70811b26eb0	0002-7335	0002-7335-11	1 KIT in 1 CARTON (0002-7335-11)  *  5 mL in 1 VIAL (0002-7349-01)  *  5 mL in 1 VIAL (0002-7336-01) 	19870401		N	N
0002-7501_67807440-b296-4d2c-9b15-23ca9c022480	0002-7501	0002-7501-01	5 mL in 1 VIAL (0002-7501-01) 	19960522		N	N
0002-7502_67807440-b296-4d2c-9b15-23ca9c022480	0002-7502	0002-7502-01	25 mL in 1 VIAL (0002-7502-01) 	19960522		N	N
0002-7510_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7510	0002-7510-01	1 VIAL in 1 CARTON (0002-7510-01)  > 10 mL in 1 VIAL	19960724		N	N
0002-7510_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7510	0002-7510-17	1 VIAL in 1 CARTON (0002-7510-17)  > 3 mL in 1 VIAL	20091204		N	N
0002-7510_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7510	0002-7510-99	1 VIAL in 1 CARTON (0002-7510-99)  > 10 mL in 1 VIAL	19960724		N	Y
0002-7511_c6e8c01e-451b-42ed-9f25-7e7d227d2795	0002-7511	0002-7511-01	1 VIAL in 1 CARTON (0002-7511-01)  > 10 mL in 1 VIAL	20001010		N	N
0002-7511_c6e8c01e-451b-42ed-9f25-7e7d227d2795	0002-7511	0002-7511-99	1 VIAL in 1 CARTON (0002-7511-99)  > 10 mL in 1 VIAL	20071207		N	Y
0002-7512_7244a003-760b-4b26-a9dc-06ac6fc42d47	0002-7512	0002-7512-01	1 VIAL in 1 CARTON (0002-7512-01)  > 10 mL in 1 VIAL	20060207		N	N
0002-7512_7244a003-760b-4b26-a9dc-06ac6fc42d47	0002-7512	0002-7512-99	1 VIAL in 1 CARTON (0002-7512-99)  > 10 mL in 1 VIAL	20061019		N	Y
0002-7516_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7516	0002-7516-59	5 CARTRIDGE in 1 CARTON (0002-7516-59)  > 3 mL in 1 CARTRIDGE (0002-7516-01) 	20000726		N	N
0002-7516_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7516	0002-7516-99	5 CARTRIDGE in 1 CARTON (0002-7516-99)  > 3 mL in 1 CARTRIDGE	20000726		N	Y
0002-7597_cd0ef401-5aed-4406-a26a-ab4c377409fe	0002-7597	0002-7597-01	1 VIAL in 1 CARTON (0002-7597-01)  > 2 mL in 1 VIAL	20040401		N	N
0002-7623_55e080d5-d7a8-45b8-9d52-11629342cb7c	0002-7623	0002-7623-01	1 VIAL in 1 CARTON (0002-7623-01)  > 20 mL in 1 VIAL	20040213		N	N
0002-7635_0738dd1d-0804-49d5-8521-3a9e9ae52fc3	0002-7635	0002-7635-11	1 KIT in 1 CARTON (0002-7635-11)  *  3 mL in 1 VIAL (0002-7622-01)  *  1.4 mL in 1 VIAL (0002-7658-01) 	20100301		N	N
0002-7636_0738dd1d-0804-49d5-8521-3a9e9ae52fc3	0002-7636	0002-7636-11	1 KIT in 1 CARTON (0002-7636-11)  *  2 mL in 1 VIAL (0002-7659-01)  *  3 mL in 1 VIAL (0002-7622-01) 	20100301		N	N
0002-7637_0738dd1d-0804-49d5-8521-3a9e9ae52fc3	0002-7637	0002-7637-11	1 KIT in 1 CARTON (0002-7637-11)  *  2.7 mL in 1 VIAL (0002-7660-01)  *  3 mL in 1 VIAL (0002-7622-01) 	20100301		N	N
0002-7640_55e080d5-d7a8-45b8-9d52-11629342cb7c	0002-7640	0002-7640-01	1 VIAL in 1 CARTON (0002-7640-01)  > 4 mL in 1 VIAL	20080115		N	N
0002-7669_7e611768-6fcf-4af1-af62-af9263bf8562	0002-7669	0002-7669-01	1 VIAL, SINGLE-USE in 1 CARTON (0002-7669-01)  > 10 mL in 1 VIAL, SINGLE-USE	20140421		N	N
0002-7678_7e611768-6fcf-4af1-af62-af9263bf8562	0002-7678	0002-7678-01	1 VIAL, SINGLE-USE in 1 CARTON (0002-7678-01)  > 50 mL in 1 VIAL, SINGLE-USE	20140421		N	N
0002-7712_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7712	0002-7712-27	2 SYRINGE in 1 CARTON (0002-7712-27)  > 3 mL in 1 SYRINGE (0002-7712-01) 	20150526		N	N
0002-7712_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7712	0002-7712-61	1 SYRINGE in 1 CARTON (0002-7712-61)  > 3 mL in 1 SYRINGE	20171001		N	Y
0002-7712_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7712	0002-7712-99	1 SYRINGE in 1 CARTON (0002-7712-99)  > 3 mL in 1 SYRINGE	20150526		N	Y
0002-7714_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7714	0002-7714-59	5 SYRINGE in 1 CARTON (0002-7714-59)  > 3 mL in 1 SYRINGE (0002-7714-01) 	20170914		N	N
0002-7714_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-7714	0002-7714-61	1 SYRINGE in 1 CARTON (0002-7714-61)  > 3 mL in 1 SYRINGE	20170925		N	Y
0002-7715_0cb55987-d725-420c-8eb2-f6e554e20280	0002-7715	0002-7715-59	5 SYRINGE in 1 CARTON (0002-7715-59)  > 3 mL in 1 SYRINGE (0002-7715-01) 	20160617		N	N
0002-7715_0cb55987-d725-420c-8eb2-f6e554e20280	0002-7715	0002-7715-63	1 SYRINGE in 1 CARTON (0002-7715-63)  > 3 mL in 1 SYRINGE	20160715		N	Y
0002-7716_62de9272-71de-4b81-8ccf-ad7806f02081	0002-7716	0002-7716-01	1 VIAL, SINGLE-USE in 1 CARTON (0002-7716-01)  > 50 mL in 1 VIAL, SINGLE-USE	20151124		N	N
0002-7724_e779cf1f-265c-4fed-931d-102fbaf7e14b	0002-7724	0002-7724-11	1 SYRINGE in 1 CARTON (0002-7724-11)  > 1 mL in 1 SYRINGE (0002-7724-01) 	20160322		N	N
0002-7724_e779cf1f-265c-4fed-931d-102fbaf7e14b	0002-7724	0002-7724-99	1 SYRINGE in 1 CARTON (0002-7724-99)  > 1 mL in 1 SYRINGE	20180116		N	Y
0002-8031_f43b949f-3a0a-43bf-863d-4de52abe5faf	0002-8031	0002-8031-01	1 KIT in 1 KIT (0002-8031-01)  *  1 mL in 1 VIAL (0002-7529-01)  *  1 mL in 1 SYRINGE (0002-7530-01) 	19990301		N	N
0002-8147_b74c9b2a-013f-41ca-8768-f70811b26eb0	0002-8147	0002-8147-01	1 TRAY in 1 CARTON (0002-8147-01)  > 1 KIT in 1 TRAY *  2.88 mL in 1 CARTRIDGE (0002-7554-01)  *  2.88 mL in 1 SYRINGE (0002-7618-01) 	20060127		N	N
0002-8148_b74c9b2a-013f-41ca-8768-f70811b26eb0	0002-8148	0002-8148-01	1 TRAY in 1 CARTON (0002-8148-01)  > 1 KIT in 1 TRAY *  2.88 mL in 1 CARTRIDGE (0002-7555-01)  *  2.88 mL in 1 SYRINGE (0002-7619-01) 	20060127		N	N
0002-8149_b74c9b2a-013f-41ca-8768-f70811b26eb0	0002-8149	0002-8149-01	1 TRAY in 1 CARTON (0002-8149-01)  > 1 KIT in 1 TRAY *  2.88 mL in 1 CARTRIDGE (0002-7556-01)  *  2.88 mL in 1 SYRINGE (0002-7619-01) 	20060127		N	N
0002-8215_4562cc37-b4df-44f9-87f2-c92d8f83f824	0002-8215	0002-8215-01	1 VIAL in 1 CARTON (0002-8215-01)  > 10 mL in 1 VIAL	19830627		N	N
