GenAge_ID,symbol,aliases,name,entrez_gene_id,uniprot,why,band,location_start,location_end,orientation,acc_promoter,acc_orf,acc_cds,references,orthologs
11,ERCC2,MAG EM9 MGC102762 MGC126218 MGC126219 TFIIH XPD,excision repair cross-complementation group 2,2068,ERCC2_HUMAN,mammal,19q13.3,45351391,45370587,-1,,NM_000400,NP_000391,"11,950,998,377,073,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","rad15;Schizosaccharomyces pombe,Ercc2;Mus musculus,Xpd;Drosophila melanogaster,Ercc2;Rattus norvegicus,ercc2;Danio rerio,RAD3;Saccharomyces cerevisiae,Y50D7A.11;Caenorhabditis elegans"
12,ERCC8,CSA CKN1,excision repair cross-complementation group 8,1161,ERCC8_HUMAN,human,5q12.1,60873832,60945078,-1,HS_CKN1,NM_000082,NP_000073,"766,433,511,089,984,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","ckn1;Schizosaccharomyces pombe,Ercc8;Mus musculus,Ercc8;Rattus norvegicus,ercc8;Danio rerio,RAD28;Saccharomyces cerevisiae"
13,WRN,RECQL2 RECQ3,"Werner syndrome, RecQ helicase-like",7486,WRN_HUMAN,"human,mammal,cell",8p12,31033262,31173761,1,NM_000553,NM_000553,NP_000544,"8602509,11089984,9352493,9288107,9771700,10725663,11087895,12934712,11023999,14527998,147113,12181313,12771022,10364153,12827497,12842909,9117983,14612404,11348659,10373438,12803543,12200042,12937274,14612507,12384494,11598021,10678659,11257107,12750383,9789047,11896071,10806190,10781066,11027336,9681877,14734561,14657658,15026416,15235603,12882351,14618025,15246744,15236770,15292449,15353794,15367665,15200954,15336909,15331638,15466429,15610765,11809708,12202749,15916783,15897889,12024027,16141234,12665521,15733840,16087220,16098926,16287861,16339323,16449207,16405962,10757812,11280729,16723399,16714450,17015833,18203716,20477760,19741171,19077115,20215438,10880505,11279038,9611231,11152456,11889123,14712220,15115755,17996922,23075628,17521388,17301258,25931448","Wrn;Mus musculus,wrn-1;Caenorhabditis elegans,Wrn;Rattus norvegicus,wrn;Danio rerio,SGS1;Saccharomyces cerevisiae"
14,LMNA,HGPS LMN1 CMD1A LGMD1B PRO1 LMNL1,lamin A/C,4000,LMNA_HUMAN,human,1q22,156114670,156140089,1,,NM_170707,NP_733821,"12714972,11089984,12927431,1944388,12748643,147113,8278403,18381888,9117983,2366592,10080180,8838815,14996929,15688064,12735900,15184648,15145358,15130666,15268757,15353794,15466429,15479179,15750600,15756215,15722103,15980864,16079796,11923874,12235369,10579712,12913070,15843403,15972724,16129833,16248985,16269543,16492728,16461887,16481476,16645051,16511604,16671095,16738054,16801550,17469202,19926845,21346760,18311132,21746928,20961378,18843043,22541428,23019125,23917225,14570852,14755333,20605919,22419169,15317753,18256394,21807766,24639560,24203701,17360326,24843141,25567453,25645366,26248606,27617860,27451905","Lmna;Mus musculus,Lam;Drosophila melanogaster,LamC;Drosophila melanogaster,Lmna;Rattus norvegicus,lmn-1;Caenorhabditis elegans,lmna;Danio rerio"
15,IGF1R,JTK13 CD221 IGFIR MGC18216 IGFR,insulin-like growth factor 1 receptor,3480,IGF1R_HUMAN,model,15q26.3,98648539,98964530,1,,NM_000875,NP_000866,"12483226,12843179,1849352,11292875,11021802,8247153,8402902,14698816,9716402,14628051,8402901,15295107,11133160,15308771,14871929,14745968,15342923,15466429,15565107,15582293,15339240,15888324,15919742,16123266,11172010,16524678,16631585,18316725,22132081,18959478,18615585,10077613,15621218,15345673,14657428,15956778,23898955,16815029,17393577,26469138","Igf1r;Mus musculus,Igf1r;Rattus norvegicus,InR;Drosophila melanogaster,daf-2;Caenorhabditis elegans,igf1ra;Danio rerio,igf1rb;Danio rerio"
16,TXN,TRX,thioredoxin,7295,THIO_HUMAN,"model,functional",9q31,110243812,110256640,-1,HS_TXN,NM_003329,NP_003320,"12,230,882,127,431,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","trx1;Schizosaccharomyces pombe,Txn1;Mus musculus,Txn1;Rattus norvegicus,zgc:56493;Danio rerio,txn;Danio rerio,TRX1;Saccharomyces cerevisiae,TRX2;Saccharomyces cerevisiae"
17,KL,,klotho,9365,KLOT_HUMAN,mammal,13q12,33016433,33066145,1,,NM_004795,NP_004786,"9363890,11792841,12119304,10837414,14701853,12369777,12475907,12362891,15295107,15302783,15466429,15677572,15763166,12669274,12110410,16123266,16186101,16144705,17014852,16436388,17086194,16436465,17690294,17569864,18762812,18678710,19635988,21474560,19077115,14528024,15665504,17452648,11016890,24778222,25037225,17287345,24813892,25673831","Kl;Rattus norvegicus,Kl;Mus musculus,klo-1;Caenorhabditis elegans,klo-2;Caenorhabditis elegans,kl;Danio rerio"
18,E2F1,RBP3 RBBP3,E2F transcription factor 1,1869,E2F1_HUMAN,"cell,downstream",20q11.2,33675486,33686404,-1,,NM_005225,NP_005216,"13,213,488,357,823,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","E2f1;Mus musculus,E2f1;Drosophila melanogaster,efl-2;Caenorhabditis elegans,E2f1;Rattus norvegicus,E2f1;Rattus norvegicus,E2F1;Danio rerio"
19,PTPN11,BPTP3 SH-PTP2 SHP-2 PTP2C SHP2 NS1,"protein tyrosine phosphatase, non-receptor type 11",5781,PTN11_HUMAN,downstream,12q24,112418732,112509913,1,,NM_002834,NP_002825,"108,950,474,025,385,000,000,000,000,000,000,000,000,000,000,000,000,000","pyp3;Schizosaccharomyces pombe,Ptpn11;Mus musculus,Ptpn11;Rattus norvegicus,csw;Drosophila melanogaster,ptpn11a;Danio rerio,ptp-2;Caenorhabditis elegans"
20,NFKB2,LYT-10 p52 p105 NF-kB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),4791,NFKB2_HUMAN,functional,10q24,102395596,102402529,1,,NM_002502,NP_002493,"9989825,10094826,12380689,12020944,11491660,11291593,10978675,9143018,10485710,10485711,12470896,10894547,12150997,15176485,12391591,10754263,11493922,12424381,16183991,18599449,22706308,19135889,22302838,23159929,23019125,16723383,23636330,23521863,15685170,15685173,9011632,12529332","Nfkb2;Mus musculus,Rel;Drosophila melanogaster,Nfkb2;Rattus norvegicus,nfkb2;Danio rerio"
21,STAT5B,,signal transducer and activator of transcription 5B,6777,STA5B_HUMAN,downstream,17q11.2,42199177,42276406,-1,,NM_012448,NP_036580,"1,081,792,811,470,130,000,000,000,000,000,000,000,000,000,000","Stat5b;Mus musculus,Stat5b;Rattus norvegicus,Stat92E;Drosophila melanogaster,sta-1;Caenorhabditis elegans,stat5a;Danio rerio,stat5b;Danio rerio"
22,STAT3,APRF,signal transducer and activator of transcription 3 (acute-phase response factor),6774,STAT3_HUMAN,downstream,17q21.31,42313325,42388495,-1,,NM_003150,NP_003141,"10,817,928,894,467,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Stat3;Mus musculus,Stat3;Rattus norvegicus,stat3;Danio rerio,Stat92E;Drosophila melanogaster,sta-1;Caenorhabditis elegans"
23,STAT5A,MGF STAT5,signal transducer and activator of transcription 5A,6776,STA5A_HUMAN,downstream,17q11.2,42287547,42311942,1,,NM_003152,NP_003143,"1,081,792,811,470,130,000,000,000,000,000,000,000,000,000,000","Stat5a;Mus musculus,Stat5a;Rattus norvegicus,Stat92E;Drosophila melanogaster,sta-1;Caenorhabditis elegans,stat5a;Danio rerio,stat5b;Danio rerio"
24,NRG1,HRG NDF GGF HGL NRG1-IT2,neuregulin 1,3084,NRG1_HUMAN,putative,8p12,32646732,32743252,1,,NM_013959,NP_039253,"955,307,875,467,388,000,000,000,000,000,000,000,000,000,000","vn;Drosophila melanogaster,Nrg1;Rattus norvegicus,Nrg1;Mus musculus,nrg1;Danio rerio"
25,HDAC3,RPD3 HD3 RPD3-2,histone deacetylase 3,8841,HDAC3_HUMAN,functional,5q31,141620876,141636856,-1,,NM_003883,NP_003874,"1,245,958,010,512,850,000,000,000,000,000,000,000,000,000,000,000,000,000","Hdac3;Rattus norvegicus,Hdac3;Mus musculus,Hdac3;Drosophila melanogaster,hdac3;Danio rerio,RPD3;Saccharomyces cerevisiae"
26,GH1,GH-N GHN GH hGH-N,growth hormone 1,2688,SOMA_HUMAN,"mammal,functional,downstream",17q24.2,63917193,63918852,-1,HS_GH1,NM_000515,NP_000506,"11487592,12915652,11994335,8944679,14647066,14659590,14583653,2355952,12692087,12630074,12610294,12471175,12393957,12057928,12044358,11983714,10905380,12955026,11855684,12663691,15295107,11133160,15308771,14751587,14871929,15036422,15342923,8612101,15536017,15339240,15664625,15790724,15718052,15699523,15919742,15771611,8670892,10522985,15596027,15621211,15708445,15963853,9180082,16024298,16129095,15985475,15956085,16524678,10654626,11283314,10084571,8350664,16682650,16760634,17183314,17173483,11742825,9630227,17326724,12011468,9045866,15579798,15464751,18434714,16799137,23940366,26990883,27605408,27688483,26268661","Gh;Mus musculus,Gh1;Rattus norvegicus,gh1;Danio rerio"
27,IL7R,CD127,interleukin 7 receptor,3575,IL7RA_HUMAN,putative,5p13,35856875,35879603,1,,NM_002185,NP_002176,"9,495,344,869,296,410,000,000,000,000,000,000,000","Il7r;Mus musculus,Il7r;Rattus norvegicus,il7r;Danio rerio"
28,IGF1,IGF1A IGFI IGF-I,insulin-like growth factor 1 (somatomedin C),3479,IGF1B_HUMAN,functional,12q23.2,102395867,102480645,-1,,NM_000618,NP_000609,"12933651,10875265,12169020,12843179,10873623,11213270,8402902,12692087,12652183,12630074,12610294,12393957,12057928,12044358,12014835,11983714,14645858,14602984,14580857,12900169,12882326,12882324,12845331,12714272,11381260,10385438,11855684,12865482,12663691,12750521,11175789,8402901,9861016,9593409,15295107,11133160,15308771,14871929,15247062,14745968,15190176,15036422,15342923,14726476,8612101,15192154,15621205,15536017,15339240,15456908,15664625,10022403,15790724,12559758,15205477,15888324,15718052,15919742,15637588,15771611,15820683,15708981,15596027,15621211,16123266,9180082,16024298,16123158,16164423,16129095,15985475,15956085,16269543,16288288,16439206,11172010,16524678,16293644,16298247,16170353,16631584,16682650,16631585,16760634,16890541,16505167,16652371,18054318,17183314,17173483,9630227,11586954,17973971,18316725,10752709,17373631,17326724,21799924,19896963,3197646,19103645,19619420,20351075,18762812,12049864,7664676,20946987,16625210,22021391,9045866,10077613,9353126,11106682,15621218,15579798,15956778,18434714,22733568,11213276,15288688,15272020,20610588,23873963,24341939,25369265,17301034,25244225,24618355","Igf1;Mus musculus,Igf1;Rattus norvegicus,igf1;Danio rerio"
29,IGF2,FLJ44734 IGF-II C11orf43,insulin-like growth factor 2,3481,IGF2_HUMAN,functional,11p15.5,2129112,2138974,-1,HS_IGF2_4,NM_000612,NP_000603,"12,630,074,126,377,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Igf2;Mus musculus,Igf2;Rattus norvegicus,igf2a;Danio rerio,igf2b;Danio rerio"
30,INS,IDDM2 IDDM1,insulin,3630,INS_HUMAN,functional,11p15.5,2159778,2161209,-1,HS_INS,NM_000207,NP_000198,"12933651,12169020,12543978,10873623,12610294,11927387,14645858,11738155,14618027,14580857,12955025,12900169,12882326,12882324,12845331,12750520,10066179,11381260,11818964,12750521,12447443,9888854,11274053,12032158,15295107,15190176,15342923,14747284,12023258,15192154,15565107,12559758,15205477,15919793,15888324,15637588,15771611,15820683,15708981,16098828,16123266,16098826,11440717,12530968,16164423,16269543,16288288,11160162,16443777,16524678,16366736,15546000,16631584,16682650,16631585,16611697,16890541,12908874,16505167,17173483,18443001,17908559,17652964,19619420,21873205,20946987,18223156,16625210,15685173,12219087,16282554,10077613,9353126,10747954,11106682,15621218,15175753,11443193,11016890,17928362,15288688,15272020,14747283,25888600","Ins1;Mus musculus,Ins2;Mus musculus,Ins1;Rattus norvegicus,Ins2;Rattus norvegicus,ins;Danio rerio,insb;Danio rerio"
31,NGF,NGFB,nerve growth factor (beta polypeptide),4803,NGF_HUMAN,putative,1p13.1,115285916,115338236,-1,,NM_002506,NP_002497,"10,485,922,846,383,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Ngf;Mus musculus,ngfa;Danio rerio,ngfb;Danio rerio,Ngf;Rattus norvegicus"
32,IRS1,HIRS-1,insulin receptor substrate 1,3667,IRS1_HUMAN,model,2q36,226731317,226798790,-1,,NM_005544,NP_005535,"128,431,791,129,287,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Irs1;Mus musculus,Irs1;Rattus norvegicus,chico;Drosophila melanogaster,irs1;Danio rerio"
33,PTPN1,PTP1B,"protein tyrosine phosphatase, non-receptor type 1",5770,PTN1_HUMAN,downstream,20q13.1-q1,50510321,50584762,1,,NM_002827,NP_002818,"1,006,617,912,802,330,000,000,000,000,000,000,000,000","Ptpn1;Mus musculus,Ptpn1;Rattus norvegicus,ptpn1;Danio rerio,Ptp61F;Drosophila melanogaster,PTP1;Saccharomyces cerevisiae"
34,IRS2,,insulin receptor substrate 2,8660,IRS2_HUMAN,"model,putative",13q34,109753837,109786567,-1,,NM_003749,NP_003740,"1,129,287,411,927,380,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Irs2;Rattus norvegicus,chico;Drosophila melanogaster,Irs2;Mus musculus,irs2a;Danio rerio,irs2b;Danio rerio"
35,AKT1,RAC PKB PRKBA AKT,v-akt murine thymoma viral oncogene homolog 1,207,AKT1_HUMAN,"model,cell",14q32.32,104769350,104793601,-1,,NM_005163,NP_005154,"15767565,11154281,11884591,12719720,11277998,11381260,11544177,12237475,11257494,9005851,10485710,10485711,11607034,12039436,12044943,9716402,9020362,15295107,14871929,15383658,14985531,14726476,15780592,15860463,15888324,15718052,16123266,12530968,16186101,15930121,16288288,12110585,10364160,16170353,14713953,16631584,16675393,16914869,12908874,16505167,15843522,23935948,18223156,21157483,21474066,15084260,12782654,15492215,10051603,21901288","AKT1;Danio rerio,Akt1;Mus musculus,Akt1;Rattus norvegicus,Akt1;Drosophila melanogaster,akt-1;Caenorhabditis elegans,akt-2;Caenorhabditis elegans,YPK1;Saccharomyces cerevisiae,YPK2;Saccharomyces cerevisiae,SCH9;Saccharomyces cerevisiae"
36,PIK3CB,PIK3C1,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta",5291,PK3CB_HUMAN,"model,downstream",3q22.3,138652698,138759359,-1,,NM_006219,NP_006210,"128,431,791,115,428,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","LOC100910021;Rattus norvegicus,Pi3K92E;Drosophila melanogaster,Pik3cb;Mus musculus,Pik3cb;Rattus norvegicus,VPS34;Saccharomyces cerevisiae,pik3cb;Danio rerio"
37,NGFR,TNFRSF16 CD271 p75NTR,nerve growth factor receptor,4804,TNR16_HUMAN,downstream,17q21-q22,49495293,49515020,1,,NM_002507,NP_002498,"21,662,411,655,975,800,000,000,000,000,000,000","Ngfr;Mus musculus,Ngfr;Rattus norvegicus,ngfrb;Danio rerio,ngfra;Danio rerio"
38,HRAS,HRAS1,Harvey rat sarcoma viral oncogene homolog,3265,RASH_HUMAN,"model,cell",11p15.5,532242,535550,1,HS_HRAS_3,NM_005343,NP_005334,###############################################################################################################################################################################################################################################################,"Hras;Mus musculus,Ras85D;Drosophila melanogaster,let-60;Caenorhabditis elegans,Hras;Rattus norvegicus,Hras;Rattus norvegicus,hrasa;Danio rerio,hrasb;Danio rerio,RAS1;Saccharomyces cerevisiae,RAS2;Saccharomyces cerevisiae"
39,MYC,c-Myc bHLHe39 MYCC,v-myc avian myelocytomatosis viral oncogene homolog,4609,MYC_HUMAN,"cell,upstream",8q24.21,127736069,127741434,1,HS_MYC_2,NM_002467,NP_002458,"15,117,301,284,290,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Myc;Mus musculus,Myc;Rattus norvegicus,myca;Danio rerio,dm;Drosophila melanogaster,mycb;Danio rerio"
40,EGFR,ERBB1 ERBB,epidermal growth factor receptor,1956,EGFR_HUMAN,downstream,7p12,55019032,55207338,1,HS_EGFR_2,NM_005228,NP_005219,"12,885,591,955,307,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Egfr;Mus musculus,Egfr;Rattus norvegicus,Egfr;Drosophila melanogaster,egfra;Danio rerio"
41,ERBB2,NEU HER-2 CD340 HER2 NGL,erb-b2 receptor tyrosine kinase 2,2064,ERBB2_HUMAN,downstream,17q12,39699978,39728662,1,HS_ERBB2_2,NM_004448,NP_004439,"9,553,078,754,673,880,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Erbb2;Mus musculus,Erbb2;Rattus norvegicus,Egfr;Drosophila melanogaster,erbb2;Danio rerio,LOC102552659;Rattus norvegicus"
42,INSR,CD220,insulin receptor,3643,INSR_HUMAN,model,19p13,7112255,7294000,-1,,NM_000208,NP_000199,"12543978,11292875,11021802,11242085,8247153,11927387,10066179,12882356,9252323,12447443,14698816,9716402,10428762,11274053,15295107,10025399,15190176,15342923,15466429,15565107,15253933,15888324,16123266,12530968,16099946,16524678,2544998,16631585,12908874,9789046,18001293,15582274,15175753,25319083","Insr;Rattus norvegicus,Insr;Mus musculus,InR;Drosophila melanogaster,daf-2;Caenorhabditis elegans,insra;Danio rerio,insrb;Danio rerio"
43,NCOR1,N-CoR hCIT529I10 TRAC1 hN-CoR KIAA1047 MGC104216 PPP1R109,nuclear receptor corepressor 1,9611,NCOR1_HUMAN,downstream,17p11.2,16030094,16215560,-1,,NM_006311,NP_006302,"12,410,313,110,306,100,000,000,000,000,000,000,000,000,000,000,000,000,000","Ncor1;Mus musculus,Smr;Drosophila melanogaster,Ncor1;Rattus norvegicus,gei-8;Caenorhabditis elegans,ncor1;Danio rerio,SNT1;Saccharomyces cerevisiae"
44,NBN,ATV AT-V2 AT-V1 NBS NBS1,nibrin,4683,NBN_HUMAN,"functional,putative",8q21,89933336,89984671,-1,,NM_002485,NP_002476,"9,590,181,110,899,840,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Nbn;Mus musculus,nbs;Drosophila melanogaster,Nbn;Rattus norvegicus,nbn;Danio rerio"
45,JUND,AP-1,jun D proto-oncogene,3727,JUND_HUMAN,"mammal,putative",19p13.2,18279694,18281656,-1,,NM_005354,NP_005345,"10,978,675,117,056,300,000,000,000,000,000,000,000,000,000,000,000,000,000","Jund;Mus musculus,Jund;Rattus norvegicus,Jra;Drosophila melanogaster,jund;Danio rerio"
46,IL2,IL-2 TCGF,interleukin 2,3558,IL2_HUMAN,putative,4q26-q27,122451471,122456495,-1,HS_IL2,NM_000586,NP_000577,"12,633,940,234,253,800,000,000,000,000,000,000,000,000,000,000,000,000","Il2;Mus musculus,Il2;Rattus norvegicus"
47,PDGFB,SSV SIS,platelet-derived growth factor beta polypeptide,5155,PDGFB_HUMAN,upstream,22q13.1,39223680,39244952,-1,HS_PDGFB,NM_002608,NP_002599,"12,668,888,113,856,200,000,000,000,000,000,000,000,000,000,000,000,000","Pdgfb;Mus musculus,Pdgfb;Rattus norvegicus,pdgfbb;Danio rerio,pdgfba;Danio rerio"
48,EGF,,epidermal growth factor,1950,EGF_HUMAN,upstream,4q25,109912884,110012962,1,,NM_001963,NP_001954,"1,058,050,412,885,590,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","LOC103691699;Rattus norvegicus,Egf;Mus musculus,cue;Drosophila melanogaster,egf;Danio rerio,Egf;Rattus norvegicus"
49,IL2RG,CD132 SCIDX1 IMD4 CIDX,"interleukin 2 receptor, gamma",3561,IL2RG_HUMAN,downstream,Xq13.1,71107406,71111631,-1,HS_IL2RG,NM_000206,NP_000197,"1,084,047,410,417,270","Gm20489;Mus musculus,Il2rg;Mus musculus,Il2rg;Rattus norvegicus,il2rga;Danio rerio,il2rgb;Danio rerio"
